Membership No  Date Joined  Active  
    36386      2015-9-3     no    
    59188      2020-8-25    yes   
    37592      2017-9-22    yes   
    29606      2019-3-3     yes   
    61834      2015-12-12   no    
    40224      2016-5-15    no    
    57968      2016-4-8     yes   
    83560      2016-11-19   no    
    33659      2019-6-3     yes   
    36315      2015-12-24   yes   
    42275      2018-7-6     no    
    47012      2017-8-19    no    
    18323      2017-5-1     no    
    74032      2018-9-12    no    
    61216      2017-4-14    no    
    39967      2018-11-2    no    
    32242      2019-8-13    yes   
    24213      2020-5-22    yes   
    39176      2020-2-4     no    
    44400      2016-8-1     yes   
