Membership No  Date Joined  Active  
    61179      2015-2-14    no    
    36884      2018-7-21    no    
    17708      2017-7-9     no    
    82456      2016-10-4    yes   
    21003      2017-4-8     no    
    72422      2017-5-18    no    
    51189      2018-12-17   no    
    60557      2018-4-10    yes   
    84313      2020-3-25    yes   
    36650      2018-9-22    yes   
    48105      2017-2-11    no    
    89313      2019-2-5     yes   
    18150      2016-4-15    yes   
    39873      2018-6-1     yes   
    66939      2016-2-12    yes   
    51791      2018-11-23   no    
    91315      2020-11-9    no    
    81397      2015-6-15    no    
    45692      2018-9-15    yes   
    81103      2016-7-6     yes   
